sessionid,clicks,channel,dm_clicks,orders,had_checkout_intent,converted
1o1mni10k33m3nbhjtx,8,organic,0,1,0,1
1o1mni10k33m3nbibbg,1,organic,0,0,0,0
1o1mni10k33m3nbnyq4,2,organic,0,0,0,0
1o1mni10k33m3nbw1nu,1,organic,0,0,0,0
1o1mni10k33m3nbxvnc,1,organic,0,0,0,0
1o1mni10k33m3nc512v,1,organic,0,0,0,0
1o1mni10k33m3nc6t1m,3,organic,0,0,0,0
1o1mni10k33m3nc6v8e,3,organic,0,0,0,0
1o1mni10k33m3ncbjvt,3,organic,0,0,0,0
1o1mni10k33m3nccfry,75,organic,0,1,0,1
1o1mni10k33m3ncd1vf,8,organic,0,0,0,0
1o1mni10k33m3nclqmk,1,organic,0,0,0,0
1o1mni10k33m3nclt3l,1,organic,0,0,0,0
1o1mni10k33m3nd4wh3,7,organic,0,0,0,0
1o1mni10k33m3nd7gof,9,organic,0,0,0,0
1o1mni10k33m3ndn5f8,2,organic,0,0,0,0
1o1mni10k33m3ndsiol,2,organic,0,0,0,0
1o1mni10k33m3ne11a5,1,organic,0,0,0,0
1o1mni10k33m3nea2n2,16,organic,0,0,0,0
1o1mni10k33m3ned9rs,1,organic,0,0,0,0
1o1mni10k33m3neonqh,2,organic,0,0,0,0
1o1mni10k33m3neu23i,13,organic,0,0,0,0
1o1mni10k33m3nf55u1,4,organic,0,0,0,0
1o1mni10k33m3nf9br4,5,organic,0,0,0,0
1o1mni10k33m3nfltj1,4,organic,0,0,0,0
1o1mni10k33m3nfo0nf,2,organic,0,0,0,0
1o1mni10k33m3nfvqbf,2,organic,0,0,0,0
1o1mni10k33m3nfz5ao,3,organic,0,0,0,0
1o1mni10k33m3nfzebz,1,organic,0,0,0,0
1o1mni10k33m3ngi0tp,1,organic,0,0,0,0
1o1mni10k33m3ngjs7w,10,organic,0,0,0,0
1o1mni10k33m3nh6pwi,4,organic,0,0,0,0
1o1mni10k33m3nhcgft,6,organic,0,0,0,0
1o1mni10k33m3nhdh9k,18,organic,0,1,0,1
1o1mni10k33m3nhfcdw,1,organic,0,0,0,0
1o1mni10k33m3nhfue8,8,organic,0,1,0,1
1o1mni10k33m3nhgslq,1,organic,0,0,0,0
1o1mni10k33m3nhs015,2,organic,0,0,0,0
1o1mni10k33m3nhw653,4,organic,0,0,0,0
1o1mni10k33m3nhx1go,3,organic,0,0,0,0
1o1mni10k33m3ni3ubw,1,organic,0,0,0,0
1o1mni10k33m3ni60mw,1,organic,0,0,0,0
1o1mni10k33m3niaec9,1,organic,0,0,0,0
1o1mni10k33m3nijdsv,1,organic,0,0,0,0
1o1mni10k33m3nijpxe,4,organic,0,0,0,0
1o1mni10k33m3nje6s7,6,organic,0,0,0,0
1o1mni10k33m3njhonb,13,organic,0,0,0,0
1o1mni10k33m3njwa2w,1,organic,0,0,0,0
1o1mni10k33m3nk7sk6,3,organic,0,0,0,0
1o1mni10k33m3nk9e1u,3,organic,0,0,0,0
1o1mni10k33m3nkaq4h,1,organic,0,0,0,0
1o1mni10k33m3nkbuob,14,organic,0,0,0,0
1o1mni10k33m3nkhug3,3,organic,0,0,0,0
1o1mni10k33m3nkpmg3,41,organic,0,1,0,1
1o1mni10k33m3nkrv1a,7,organic,0,0,0,0
1o1mni10k33m3nl797u,7,organic,0,0,0,0
1o1mni10k33m3nlrtzd,1,organic,0,0,0,0
1o1mni10k33m3nlum6v,3,organic,0,0,0,0
1o1mni10k33m3nmb6mz,1,organic,0,0,0,0
1o1mni10k33m3nn64pk,2,organic,0,0,0,0
1o1mni10k33m3nncg4g,1,organic,0,0,0,0
1o1mni10k33m3nncg4j,6,organic,0,1,0,1
1o1mni10k33m3nnp8kr,1,organic,0,0,0,0
1o1mni10k33m3no03c5,4,organic,0,0,0,0
1o1mni10k33m3np38zf,1,organic,0,0,0,0
1o1mni10k33m3npqnar,1,organic,0,0,0,0
1o1mni10k33m3nupn0a,1,organic,0,0,0,0
1o1mni10k33m3nw01g3,1,organic,0,0,0,0
1o1mni10k33m3ny0ylf,9,organic,0,0,0,0
1o1mni10k33m3nyxoss,1,organic,0,0,0,0
1o1mni10k33m3nz63st,10,organic,0,0,0,0
1o1mni10k33m3o0agrq,1,organic,0,0,0,0
1o1mni10k33m3o0dm2x,1,organic,0,0,0,0
1o1mni10k33m3o0jicp,1,organic,0,0,0,0
1o1mni10k33m3o13gff,1,organic,0,0,0,0
1o1mni10k33m3o148ti,4,organic,0,0,0,0
1o1mni10k33m3o1fnep,1,organic,0,0,0,0
1o1mni10k33m3o1mbq0,1,organic,0,0,0,0
1o1mni10k33m3o1mt0p,1,organic,0,0,0,0
1o1mni10k33m3o1ojb8,27,organic,0,1,0,1
1o1mni10k33m3o1q2vi,5,organic,0,0,0,0
1o1mni10k33m3o1t0q1,4,organic,0,0,0,0
1o1mni10k33m3o23xvc,1,organic,0,0,0,0
1o1mni10k33m3o2adde,1,organic,0,0,0,0
1o1mni10k33m3o2ajc5,1,organic,0,0,0,0
1o1mni10k33m3o2d7pr,4,organic,0,0,0,0
1o1mni10k33m3o2f7kp,9,organic,0,0,0,0
1o1mni10k33m3o2ltkw,1,organic,0,0,0,0
1o1mni10k33m3o2zqgl,1,organic,0,0,0,0
1o1mni10k33m3o33y0f,1,organic,0,0,0,0
1o1mni10k33m3o37bih,2,organic,0,0,0,0
1o1mni10k33m3o467wi,11,organic,0,0,0,0
1o1mni10k33m3o48i1p,1,organic,0,0,0,0
1o1mni10k33m3o4tjc0,2,organic,0,0,0,0
1o1mni10k33m3o59aug,2,organic,0,0,0,0
1o1mni10k33m3o5aaqu,1,organic,0,0,0,0
1o1mni10k33m3o5dpx5,13,organic,0,2,0,1
1o1mni10k33m3o5iqok,12,organic,0,1,0,1
1o1mni10k33m3o5o8du,1,organic,0,0,0,0
1o1mni10k33m3o5p6g1,17,organic,0,0,0,0
1o1mni10k33m3o5q71k,3,organic,0,0,0,0
1o1mni10k33m3o5ta5y,1,organic,0,0,0,0
1o1mni10k33m3o5thpv,1,organic,0,0,0,0
1o1mni10k33m3o5vy3y,3,organic,0,0,0,0
1o1mni10k33m3o619zz,31,organic,0,1,0,1
1o1mni10k33m3o61ymb,1,organic,0,0,0,0
1o1mni10k33m3o66m9x,23,organic,0,1,0,1
1o1mni10k33m3o6etdn,2,organic,0,0,0,0
1o1mni10k33m3o6r32s,2,organic,0,0,0,0
1o1mni10k33m3o6wyy6,2,organic,0,0,0,0
1o1mni10k33m3o6y1y1,1,organic,0,0,0,0
1o1mni10k33m3o7lc2q,51,organic,0,0,0,0
1o1mni10k33m3o7lov9,1,organic,0,0,0,0
1o1mni10k33m3o7obew,12,organic,0,1,0,1
1o1mni10k33m3o7sdw9,195,organic,0,1,0,1
1o1mni10k33m3o83ii5,3,organic,0,0,0,0
1o1mni10k33m3o89ve4,8,organic,0,0,0,0
1o1mni10k33m3o8ujx8,2,organic,0,0,0,0
1o1mni10k33m3o8uk1l,2,organic,0,0,0,0
1o1mni10k33m3o9bxhb,1,organic,0,0,0,0
1o1mni10k33m3o9hrwf,3,organic,0,0,0,0
1o1mni10k33m3o9izkq,4,organic,0,0,0,0
1o1mni10k33m3o9kfev,2,organic,0,0,0,0
1o1mni10k33m3o9ojtz,4,organic,0,0,0,0
1o1mni10k33m3o9rcs2,1,organic,0,0,0,0
1o1mni10k33m3o9rdtb,3,organic,0,0,0,0
1o1mni10k33m3o9rgit,1,organic,0,0,0,0
1o1mni10k33m3o9wa9z,13,organic,0,0,0,0
1o1mni10k33m3o9wwhz,23,organic,0,0,0,0
1o1mni10k33m3oa33yx,2,organic,0,0,0,0
1o1mni10k33m3oa6szg,10,organic,0,0,0,0
1o1mni10k33m3ob1oea,2,organic,0,0,0,0
1o1mni10k33m3obc6ow,1,organic,0,0,0,0
1o1mni10k33m3obf76g,6,organic,0,0,0,0
1o1mni10k33m3obgfzt,1,organic,0,0,0,0
1o1mni10k33m3obnw5i,1,organic,0,0,0,0
1o1mni10k33m3ocj6cg,4,organic,0,0,0,0
1o1mni10k33m3ocl76f,13,organic,0,1,0,1
1o1mni10k33m3ocvmoq,3,organic,0,0,0,0
1o1mni10k33m3ocvsei,38,organic,0,1,0,1
1o1mni10k33m3ocym6o,2,organic,0,0,0,0
1o1mni10k33m3od68eu,2,organic,0,0,0,0
1o1mni10k33m3odamqa,21,organic,0,1,0,1
1o1mni10k33m3oddevc,2,organic,0,0,0,0
1o1mni10k33m3odibs1,1,organic,0,0,0,0
1o1mni10k33m3odijq1,5,organic,0,0,0,0
1o1mni10k33m3odlg09,1,organic,0,0,0,0
1o1mni10k33m3odupfh,10,organic,0,1,0,1
1o1mni10k33m3oe26mq,1,organic,0,0,0,0
1o1mni10k33m3oe3s8m,1,organic,0,0,0,0
1o1mni10k33m3oe58qc,9,organic,0,1,0,1
1o1mni10k33m3oec713,1,organic,0,0,0,0
1o1mni10k33m3oeetey,4,organic,0,0,0,0
1o1mni10k33m3oemqj2,7,organic,0,0,0,0
1o1mni10k33m3of7pht,12,organic,0,0,0,0
1o1mni10k33m3ofb8i4,17,organic,0,1,0,1
1o1mni10k33m3ofgcj0,2,organic,0,0,0,0
1o1mni10k33m3ofr89u,1,organic,0,0,0,0
1o1mni10k33m3ofvcf3,3,organic,0,0,0,0
1o1mni10k33m3ofz8uy,3,organic,0,0,0,0
1o1mni10k33m3og4y3d,2,organic,0,0,0,0
1o1mni10k33m3ogajje,4,organic,0,0,0,0
1o1mni10k33m3ogay07,1,organic,0,0,0,0
1o1mni10k33m3ogbpfp,3,organic,0,0,0,0
1o1mni10k33m3ogc4i7,6,organic,0,0,0,0
1o1mni10k33m3ogtj1z,8,organic,0,0,0,0
1o1mni10k33m3ogyfb3,3,organic,0,0,0,0
1o1mni10k33m3ogzn5y,4,organic,0,0,0,0
1o1mni10k33m3oh3azd,11,organic,0,0,0,0
1o1mni10k33m3oh4247,1,organic,0,0,0,0
1o1mni10k33m3oh5gjh,1,organic,0,0,0,0
1o1mni10k33m3ohbmr7,4,organic,0,0,0,0
1o1mni10k33m3ohlipk,37,organic,0,1,0,1
1o1mni10k33m3ohn1jx,1,organic,0,0,0,0
1o1mni10k33m3oi6b8c,2,organic,0,0,0,0
1o1mni10k33m3oibrgs,2,organic,0,0,0,0
1o1mni10k33m3oif343,1,organic,0,0,0,0
1o1mni10k33m3oigci7,13,organic,0,0,0,0
1o1mni10k33m3oio6zf,14,organic,0,0,0,0
1o1mni10k33m3oipdgg,45,organic,0,1,0,1
1o1mni10k33m3oisfjn,9,organic,0,1,0,1
1o1mni10k33m3oit0wz,2,organic,0,0,0,0
1o1mni10k33m3oitzqn,2,organic,0,0,0,0
1o1mni10k33m3oiwaq4,2,organic,0,0,0,0
1o1mni10k33m3oj4y3g,7,organic,0,0,0,0
1o1mni10k33m3oj9ox9,15,organic,0,2,0,1
1o1mni10k33m3ojnl07,6,organic,0,0,0,0
1o1mni10k33m3ojwax2,3,organic,0,0,0,0
1o1mni10k33m3ok41eg,7,organic,0,0,0,0
1o1mni10k33m3ok97p7,13,organic,0,0,0,0
1o1mni10k33m3ok9rai,1,organic,0,0,0,0
1o1mni10k33m3okcge3,1,organic,0,0,0,0
1o1mni10k33m3oki6ia,2,organic,0,0,0,0
1o1mni10k33m3okilk1,2,organic,0,0,0,0
1o1mni10k33m3oldwtw,2,organic,0,0,0,0
1o1mni10k33m3olh9kd,1,organic,0,0,0,0
1o1mni10k33m3olrxoi,4,organic,0,0,0,0
1o1mni10k33m3oltkfa,12,organic,0,0,0,0
1o1mni10k33m3oluu7x,6,organic,0,0,0,0
1o1mni10k33m3olzl28,1,organic,0,0,0,0
1o1mni10k33m3om33y9,1,organic,0,0,0,0
1o1mni10k33m3om8li3,1,organic,0,0,0,0
1o1mni10k33m3omkavt,2,organic,0,0,0,0
1o1mni10k33m3ommhqc,4,organic,0,0,0,0
1o1mni10k33m3omn3yp,3,organic,0,0,0,0
1o1mni10k33m3omro2i,1,organic,0,0,0,0
1o1mni10k33m3omu2x3,2,organic,0,0,0,0
1o1mni10k33m3on69qw,5,organic,0,0,0,0
1o1mni10k33m3on6ian,3,organic,0,0,0,0
1o1mni10k33m3on9qyj,2,organic,0,0,0,0
1o1mni10k33m3ontgv0,15,organic,0,1,0,1
1o1mni10k33m3oo5qm1,1,organic,0,0,0,0
1o1mni10k33m3oor8qr,4,organic,0,0,0,0
1o1mni10k33m3ooz2l1,2,organic,0,0,0,0
1o1mni10k33m3op2cb2,2,organic,0,0,0,0
1o1mni10k33m3op9808,6,organic,0,0,0,0
1o1mni10k33m3opj3hz,2,organic,0,0,0,0
1o1mni10k33m3oqcwfc,3,organic,0,0,0,0
1o1mni10k33m3oqi8c2,1,organic,0,0,0,0
1o1mni10k33m3oqnwp9,1,organic,0,0,0,0
1o1mni10k33m3oqqwdj,12,organic,0,0,0,0
1o1mni10k33m3orc7pi,9,organic,0,0,0,0
1o1mni10k33m3orfq4g,12,organic,0,0,0,0
1o1mni10k33m3orkf47,4,organic,0,0,0,0
1o1mni10k33m3orr3ly,5,organic,0,0,0,0
1o1mni10k33m3orv2sc,2,organic,0,0,0,0
1o1mni10k33m3orw8dm,2,organic,0,0,0,0
1o1mni10k33m3orwqw0,6,organic,0,0,0,0
1o1mni10k33m3orxy5p,7,organic,0,1,0,1
1o1mni10k33m3os0zdt,2,organic,0,0,0,0
1o1mni10k33m3oszbqy,10,organic,0,1,0,1
1o1mni10k33m3ot7bsw,2,organic,0,0,0,0
1o1mni10k33m3otcuz9,1,organic,0,0,0,0
1o1mni10k33m3otq7vy,1,organic,0,0,0,0
1o1mni10k33m3otvm4h,8,organic,0,0,0,0
1o1mni10k33m3ou7zaz,2,organic,0,0,0,0
1o1mni10k33m3ou9dqx,27,organic,0,1,0,1
1o1mni10k33m3ouhqlj,2,organic,0,0,0,0
1o1mni10k33m3our5da,6,organic,0,0,0,0
1o1mni10k33m3ov46e8,1,organic,0,0,0,0
1o1mni10k33m3ovs83g,3,organic,0,0,0,0
1o1mni10k33m3ow4vg1,16,organic,0,0,0,0
1o1mni10k33m3ow8ede,3,organic,0,0,0,0
1o1mni10k33m3ow93jr,6,organic,0,0,0,0
1o1mni10k33m3own2yb,10,organic,0,0,0,0
1o1mni10k33m3owtljk,25,organic,0,1,0,1
1o1mni10k33m3ox6mzv,1,organic,0,0,0,0
1o1mni10k33m3oxalow,2,organic,0,0,0,0
1o1mni10k33m3oxcepl,1,organic,0,0,0,0
1o1mni10k33m3oxgq5y,3,organic,0,0,0,0
1o1mni10k33m3oxkqti,2,organic,0,0,0,0
1o1mni10k33m3oxkty6,1,organic,0,0,0,0
1o1mni10k33m3oxonha,3,organic,0,0,0,0
1o1mni10k33m3oxq08s,2,organic,0,0,0,0
1o1mni10k33m3oxrgr0,5,organic,0,1,0,1
1o1mni10k33m3oy1591,2,organic,0,0,0,0
1o1mni10k33m3oy7uwm,7,organic,0,0,0,0
1o1mni10k33m3oy8ep9,10,organic,0,0,0,0
1o1mni10k33m3oy9zs2,3,organic,0,0,0,0
1o1mni10k33m3oyl44n,2,organic,0,0,0,0
1o1mni10k33m3oyw25h,18,organic,0,0,0,0
1o1mni10k33m3ozaa4g,1,organic,0,0,0,0
1o1mni10k33m3p00seu,20,organic,0,1,0,1
1o1mni10k33m3p04hme,2,organic,0,0,0,0
1o1mni10k33m3p0q8ny,3,organic,0,0,0,0
1o1mni10k33m3p0qduj,6,organic,0,0,0,0
1o1mni10k33m3p1vtj4,35,organic,0,0,0,0
1o1mni10k33m3p2hn7i,6,organic,0,0,0,0
1o1mni10k33m3p2iwhj,6,organic,0,0,0,0
1o1mni10k33m3p2k24i,11,organic,0,1,0,1
1o1mni10k33m3p2oeyp,5,organic,0,0,0,0
1o1mni10k33m3p2xdfi,1,organic,0,0,0,0
1o1mni10k33m3p4mqf1,6,organic,0,1,0,1
1o1mni10k33m3p4qrfw,2,organic,0,0,0,0
1o1mni10k33m3p69ggq,27,organic,0,0,0,0
1o1mni10k33m3p72hfk,3,organic,0,0,0,0
1o1mni10k33m3p8ckg3,2,organic,0,0,0,0
1o1mni10k33m3p9t67o,1,organic,0,0,0,0
1o1mni10k33m3pc6go8,1,organic,0,0,0,0
1o1mni10k33m3pdh752,1,organic,0,0,0,0
1o1mni10k33m3pdqn7c,12,organic,0,0,0,0
1o1mni10k33m3pess27,1,organic,0,0,0,0
1o1mni10k33m3pewia7,2,organic,0,0,0,0
1o1mni10k33m3pfs6ji,3,organic,0,0,0,0
1o1mni10k33m3pg2upp,1,organic,0,0,0,0
1o1mni10k33m3pgprhp,2,organic,0,0,0,0
1o1mni10k33m3ph1gvw,14,organic,0,1,0,1
1o1mni10k33m3pi2d3m,6,organic,0,0,0,0
1o1mni10k33m3pi413h,1,organic,0,0,0,0
1o1mni10k33m3pi7s0m,3,organic,0,0,0,0
1o1mni10k33m3piaonq,6,organic,0,0,0,0
1o1mni10k33m3pid7hm,1,organic,0,0,0,0
1o1mni10k33m3pigqe5,4,organic,0,0,0,0
1o1mni10k33m3pihmlu,1,organic,0,0,0,0
1o1mni10k33m3pip2hu,3,organic,0,0,0,0
1o1mni10k33m3piu771,1,organic,0,0,0,0
1o1mni10k33m3pixg5w,2,organic,0,0,0,0
1o1mni10k33m3pjbm3m,1,organic,0,0,0,0
1o1mni10k33m3pjg73k,9,organic,0,0,0,0
1o1mni10k33m3pji5rv,1,organic,0,0,0,0
1o1mni10k33m3pjr3n8,5,organic,0,0,0,0
1o1mni10k33m3pk4dli,2,organic,0,0,0,0
1o1mni10k33m3pk7wpm,6,organic,0,0,0,0
1o1mni10k33m3pkixry,1,organic,0,0,0,0
1o1mni10k33m3pkl16n,1,organic,0,0,0,0
1o1mni10k33m3pky2fk,1,organic,0,0,0,0
1o1mni10k33m3pl1cmz,1,organic,0,0,0,0
1o1mni10k33m3pl1yl3,1,organic,0,0,0,0
1o1mni10k33m3plheb3,1,organic,0,0,0,0
1o1mni10k33m3ployhl,4,organic,0,0,0,0
1o1mni10k33m3plusta,13,organic,0,0,0,0
1o1mni10k33m3pm2gq1,18,organic,0,0,0,0
1o1mni10k33m3pmpcui,2,organic,0,0,0,0
1o1mni10k33m3pmuuf0,3,organic,0,0,0,0
1o1mni10k33m3pmzjer,2,organic,0,0,0,0
1o1mni10k33m3pn6t2r,8,organic,0,1,0,1
1o1mni10k33m3pnftm7,7,organic,0,1,0,1
1o1mni10k33m3pnv21u,1,organic,0,0,0,0
1o1mni10k33m3pnyzyj,2,organic,0,0,0,0
1o1mni10k33m3po6lie,4,organic,0,0,0,0
1o1mni10k33m3podi1a,1,organic,0,0,0,0
1o1mni10k33m3pol2s9,3,organic,0,0,0,0
1o1mni10k33m3poliur,12,organic,0,0,0,0
1o1mni10k33m3polsz7,6,organic,0,0,0,0
1o1mni10k33m3pont76,2,organic,0,0,0,0
1o1mni10k33m3pp1kbu,17,organic,0,1,0,1
1o1mni10k33m3pp5y6d,1,organic,0,0,0,0
1o1mni10k33m3ppkh8p,5,organic,0,0,0,0
1o1mni10k33m3pqfk9m,6,organic,0,1,0,1
1o1mni10k33m3pqfrpa,2,organic,0,0,0,0
1o1mni10k33m3pqjgtx,10,organic,0,0,0,0
1o1mni10k33m3pqq453,4,organic,0,0,0,0
1o1mni10k33m3praa36,13,organic,0,0,0,0
1o1mni10k33m3prce8r,1,organic,0,0,0,0
1o1mni10k33m3probiw,4,organic,0,1,0,1
1o1mni10k33m3prv4ii,7,organic,0,0,0,0
1o1mni10k33m3prydsv,1,organic,0,0,0,0
1o1mni10k33m3ps442e,2,organic,0,0,0,0
1o1mni10k33m3psmjpe,26,organic,0,2,0,1
1o1mni10k33m3psz9oi,1,organic,0,0,0,0
1o1mni10k33m3pt9yzp,43,organic,0,0,0,0
1o1mni10k33m3ptfyit,1,organic,0,0,0,0
1o1mni10k33m3ptgd7k,2,organic,0,0,0,0
1o1mni10k33m3ptobnb,2,organic,0,0,0,0
1o1mni10k33m3pttn74,1,organic,0,0,0,0
1o1mni10k33m3ptx12z,6,organic,0,0,0,0
1o1mni10k33m3pugq4q,1,organic,0,0,0,0
1o1mni10k33m3pus3y1,2,organic,0,0,0,0
1o1mni10k33m3puuvxb,2,organic,0,0,0,0
1o1mni10k33m3pv7s1g,3,organic,0,0,0,0
1o1mni10k33m3pv9gf7,1,organic,0,0,0,0
1o1mni10k33m3pvkd7i,10,organic,0,0,0,0
1o1mni10k33m3pvogt5,35,organic,0,1,0,1
1o1mni10k33m3pvq49z,22,organic,0,2,0,1
1o1mni10k33m3pvv5ms,7,organic,0,0,0,0
1o1mni10k33m3pvy4q8,14,organic,0,0,0,0
1o1mni10k33m3pvybm0,1,organic,0,0,0,0
1o1mni10k33m3pw70wj,1,organic,0,0,0,0
1o1mni10k33m3pwh1kb,1,organic,0,0,0,0
1o1mni10k33m3pwnxnu,6,organic,0,0,0,0
1o1mni10k33m3pwodq0,14,organic,0,0,0,0
1o1mni10k33m3pwvyal,5,organic,0,0,0,0
1o1mni10k33m3px2ia6,1,organic,0,0,0,0
1o1mni10k33m3px59l7,7,organic,0,0,0,0
1o1mni10k33m3px8zxd,2,organic,0,0,0,0
1o1mni10k33m3pxaz2w,16,organic,0,0,0,0
1o1mni10k33m3pxeczy,2,organic,0,0,0,0
1o1mni10k33m3pxiqox,4,organic,0,0,0,0
1o1mni10k33m3pxlr37,1,organic,0,0,0,0
1o1mni10k33m3pxqth2,4,organic,0,0,0,0
1o1mni10k33m3pxv5lt,2,organic,0,0,0,0
1o1mni10k33m3py6mdp,1,organic,0,0,0,0
1o1mni10k33m3pyk89h,2,organic,0,0,0,0
1o1mni10k33m3pyrx4g,8,organic,0,0,0,0
1o1mni10k33m3pytox4,5,organic,0,0,0,0
1o1mni10k33m3pyu78e,15,organic,0,1,0,1
1o1mni10k33m3pyui8x,1,organic,0,0,0,0
1o1mni10k33m3pz65tb,1,organic,0,0,0,0
1o1mni10k33m3pze7k6,1,organic,0,0,0,0
1o1mni10k33m3pzf2pg,1,organic,0,0,0,0
1o1mni10k33m3pzgcut,1,organic,0,0,0,0
1o1mni10k33m3pzhi7u,3,organic,0,0,0,0
1o1mni10k33m3pzkuq1,5,organic,0,0,0,0
1o1mni10k33m3q08waw,3,organic,0,0,0,0
1o1mni10k33m3q0enkw,2,organic,0,0,0,0
1o1mni10k33m3q0ibzn,8,organic,0,0,0,0
1o1mni10k33m3q0p14h,182,organic,0,0,0,0
1o1mni10k33m3q0s4du,2,organic,0,0,0,0
1o1mni10k33m3q0tpil,1,organic,0,0,0,0
1o1mni10k33m3q0yyrm,2,organic,0,0,0,0
1o1mni10k33m3q11ioo,3,organic,0,0,0,0
1o1mni10k33m3q188kk,1,organic,0,0,0,0
1o1mni10k33m3q1tb9n,1,organic,0,0,0,0
1o1mni10k33m3q24bmm,1,organic,0,0,0,0
1o1mni10k33m3q25esc,1,organic,0,0,0,0
1o1mni10k33m3q29814,4,organic,0,0,0,0
1o1mni10k33m3q2aera,12,organic,0,0,0,0
1o1mni10k33m3q2czv6,1,organic,0,0,0,0
1o1mni10k33m3q2de6g,1,organic,0,0,0,0
1o1mni10k33m3q2gjv7,1,organic,0,0,0,0
1o1mni10k33m3q2h81z,5,organic,0,1,0,1
1o1mni10k33m3q2ib7t,2,organic,0,0,0,0
1o1mni10k33m3q2mqi9,5,organic,0,0,0,0
1o1mni10k33m3q2nyhg,1,organic,0,0,0,0
1o1mni10k33m3q2oedt,5,organic,0,1,0,1
1o1mni10k33m3q2q7bo,16,organic,0,1,0,1
1o1mni10k33m3q2ui7m,4,organic,0,0,0,0
1o1mni10k33m3q32ud0,4,organic,0,0,0,0
1o1mni10k33m3q3bm9z,2,organic,0,0,0,0
1o1mni10k33m3q3g025,2,organic,0,0,0,0
1o1mni10k33m3q3hes9,15,organic,0,0,0,0
1o1mni10k33m3q3j7i2,3,organic,0,0,0,0
1o1mni10k33m3q3t813,4,organic,0,0,0,0
1o1mni10k33m3q3vgdi,3,organic,0,0,0,0
1o1mni10k33m3q3w7oh,6,organic,0,0,0,0
1o1mni10k33m3q3yf0n,2,organic,0,0,0,0
1o1mni10k33m3q45fhn,1,organic,0,0,0,0
1o1mni10k33m3q48m89,20,organic,0,0,0,0
1o1mni10k33m3q4d4ek,1,organic,0,0,0,0
1o1mni10k33m3q4jgva,5,organic,0,0,0,0
1o1mni10k33m3q4ndf0,6,organic,0,0,0,0
1o1mni10k33m3q4sclp,1,organic,0,0,0,0
1o1mni10k33m3q4wqyu,2,organic,0,0,0,0
1o1mni10k33m3q53h44,38,organic,0,1,0,1
1o1mni10k33m3q58e5w,19,organic,0,1,0,1
1o1mni10k33m3q5cz55,1,organic,0,0,0,0
